study_ID,platform,study_type,repository,accession,transcriptomic_data_link,metadata_link,antibody_link
GSE68310,microarray,mixed exposure,GEO,GSE68310,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310,,
GSE194378,RNA-seq,mixed exposure,GEO,GSE194378,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194378,,
GSE74811,microarray,vaccine,GEO,GSE74811,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74811,,
GSE74813,microarray,vaccine,GEO,GSE74813,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74813,,
GSE74815,microarray,vaccine,GEO,GSE74815,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74815,,
GSE74816,microarray,vaccine,GEO,GSE74816,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74816,,
GSE48023,microarray,vaccine,GEO,GSE48023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48023,,
GSE48018,microarray,vaccine,GEO,GSE48018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48018,,
GSE41080,microarray,vaccine,GEO,GSE41080,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41080,,
GSE59743,microarray,vaccine,GEO,GSE59743,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59743,,
GSE59654,microarray,vaccine,GEO,GSE59654,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59654,,
GSE101709,microarray,vaccine,GEO,GSE101709,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101709,,
GSE59635,microarray,vaccine,GEO,GSE59635,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59635,,
GSE101710,microarray,vaccine,GEO,GSE101710,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101710,,
GSE47353,microarray,vaccine,GEO,GSE47353,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47353,,
GSE190001_PRIME,RNA-seq,vaccine,GEO,GSE190001,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001,,
GSE190001_BOOST,RNA-seq,vaccine,GEO,GSE190001,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001,,
SDY311,microarray,vaccine,ImmPort,SDY311,https://www.immport.org/shared/study/SDY311,,
SDY112,microarray,vaccine,ImmPort,SDY112,https://www.immport.org/shared/study/SDY112,,
SDY315,microarray,vaccine,ImmPort,SDY315,https://www.immport.org/shared/study/SDY315,,
GSE207750,RNA-seq,vaccine,GEO,GSE207750,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207750,,
GSE246525,RNA-seq,vaccine,GEO,GSE246525,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246525,,
GSE201533,RNA-seq,vaccine,GEO,GSE201533,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201533,,
GSE190747,RNA-seq,vaccine,GEO,GSE190747,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190747,,
GSE199750,RNA-seq,vaccine,GEO,GSE199750,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199750,,
GSE169159,RNA-seq,vaccine,GEO,GSE169159,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169159,,
GSE29614,microarray,vaccine,GEO,GSE29614,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29614,,
GSE29615,microarray,vaccine,GEO,GSE29615,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29615,,
GSE29617,microarray,vaccine,GEO,GSE29617,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29617,,
GSE48762,microarray,vaccine,GEO,GSE48762,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48762,,
GSE45735,RNA-seq,vaccine,GEO,GSE45735,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45735,,
GSE201642,RNA-seq,vaccine,GEO,GSE201642,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201642,,
GSE250023,RNA-seq,vaccine,GEO,GSE250023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250023,,
challenge_covid19,scRNA-seq,inoculation,UNKNOWN,,,,
GSE246937,scRNA-seq,vaccine,GEO,GSE246937,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246937,,
E_MTAB_12993_nose,RNA-seq,inoculation,ArrayExpress,E-MTAB-12993,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12993,,
E_MTAB_12993_blood,RNA-seq,inoculation,ArrayExpress,E-MTAB-12993,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12993,,
GSE11348,microarray,inoculation,GEO,GSE11348,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11348,,
GSE61754,microarray,inoculation,GEO,GSE61754,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61754,,
GSE90732,microarray,inoculation,GEO,GSE90732,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90732,,
GSE155237,RNA-seq,inoculation,GEO,GSE155237,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155237,,
GSE73072_H1N1_DEE4,microarray,inoculation,GEO,GSE73072,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,,
GSE73072_H1N1_DEE3,microarray,inoculation,GEO,GSE73072,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,,
GSE73072_H3N2_DEE2,microarray,inoculation,GEO,GSE73072,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,,
GSE73072_H3N2_DEE5,microarray,inoculation,GEO,GSE73072,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,,
GSE73072_HRV_DUKE,microarray,inoculation,GEO,GSE73072,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,,
GSE73072_HRV_UVA,microarray,inoculation,GEO,GSE73072,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,,
GSE73072_RSV_DEE1,microarray,inoculation,GEO,GSE73072,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,,
GSE117580,RNA-seq,mixed exposure,GEO,GSE117580,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117580,,
GSE220682,RNA-seq,vaccine,GEO,GSE220682,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220682,,
GSE228839,RNA-seq,vaccine,GEO,GSE228839,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228839,,
GSE276544,RNA-seq,vaccine,GEO,GSE276544,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276544,,
GSE209985,RNA-seq,vaccine,GEO,GSE209985,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209985,,
GSE247401,RNA-seq,vaccine,GEO,GSE247401,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247401,,
GSE265975,RNA-seq,vaccine,GEO,GSE265975,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE265975,,
GSE102012,microarray,vaccine,GEO,GSE102012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102012,,
GSE217770,RNA-seq,vaccine,GEO,GSE217770,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217770,,
GSE230494,RNA-seq,vaccine,GEO,GSE230494,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230494,,
GSE52005,microarray,vaccine,GEO,GSE52005,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52005,,
GSE107990,microarray,vaccine,GEO,GSE107990,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107990,,
GSE281864,RNA-seq,vaccine,GEO,GSE281864,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281864,,
EMTAB10026,scRNA-seq,inoculation,ArrayExpress,E-MTAB-10026,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10026,,
eskd_covid19,scRNA-seq,mixed exposure,UNKNOWN,,,,
GSE201534,scRNA-seq,vaccine,GEO,GSE201534,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201534,,
GSE247917,scRNA-seq,vaccine,GEO,GSE247917,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247917,,
GSE195673,scRNA-seq,vaccine,GEO,GSE195673,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195673,,
